no,country,iso_code,level,gdlcode,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,country_code
1,Angola,AGO,National,AGOt,Total,,,,,,,1.62,1.93,2.23,2.54,2.85,3.15,3.46,3.77,4.07,4.38,4.68,4.99,5.30,5.60,5.91,5.65,5.38,5.12,4.85,4.59,4.33,4.06,AGO
2,Burundi,BDI,National,BDIt,Total,,,,,,,,,,,,4.13,3.90,3.68,3.45,3.22,3.00,2.77,2.55,2.32,2.42,2.53,2.63,2.74,2.84,2.95,3.05,3.15,BDI
3,Benin,BEN,National,BENt,Total,,,0.84,0.92,1.01,1.09,1.17,1.26,1.34,1.43,1.51,1.54,1.57,1.60,1.63,1.66,1.75,1.84,1.92,2.01,2.10,2.12,2.14,2.16,2.17,2.19,2.21,2.23,BEN
4,Burkina Faso,BFA,National,BFAt,Total,,,,,0.37,0.44,0.51,0.58,0.65,0.72,0.79,0.86,0.93,0.97,1.00,1.04,1.08,1.12,1.15,1.19,1.23,1.26,1.30,,,,,,BFA
5,Botswana,BWA,National,BWAt,Total,,,,,,,7.97,7.59,7.21,6.83,6.45,6.66,6.86,7.07,7.28,7.49,7.69,7.90,8.11,8.31,8.52,8.67,8.81,8.96,9.10,9.25,,,BWA
6,Central African Republic CAR,CAF,National,CAFt,Total,1.37,1.45,1.53,1.61,1.69,1.77,1.86,1.94,2.02,2.10,2.18,2.26,2.35,2.43,2.51,2.59,2.70,2.82,2.93,3.04,3.15,3.27,3.38,,,,,,CAF
7,Cote d'Ivoire,CIV,National,CIVt,Total,1.35,1.47,1.60,1.72,1.84,1.97,2.09,2.22,2.34,2.36,2.38,2.40,2.42,2.44,2.46,2.49,2.53,2.56,2.59,2.63,2.66,2.69,2.73,2.76,,,,,CIV
8,Cameroon,CMR,National,CMRt,Total,,,,,3.47,3.57,3.68,3.79,3.90,4.01,4.12,4.22,4.33,4.44,4.52,4.60,4.68,4.77,4.85,4.93,5.01,5.09,5.17,5.25,,,,,CMR
9,Congo Democratic Republic,COD,National,CODt,Total,,,,,,,,,,,,,,4.67,4.64,4.62,4.59,4.56,4.54,4.51,4.75,4.98,5.22,5.46,5.69,5.93,,,COD
10,Congo Brazzaville,COG,National,COGt,Total,,,,,,,,,,,,5.68,5.81,5.95,6.09,6.23,6.37,6.51,6.64,6.78,6.92,7.03,7.14,7.25,7.36,7.47,7.58,7.69,COG
