country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,34.4,33.7,33.1,32.6,30.7,32.1,33.2,32.4,31.5,30.6,31.5,31.9,32.7,35.2,36,37.2,36.5,37.4,37.8,38.1,38.3,38,39.4,37.1,36.8,37.2,37.2,37.2,37.2,37.1,36.9,36.7
Angola,59.8,59.7,59.7,59.5,59.2,59.2,59.2,59.2,59.3,59.2,59.3,59.2,59.3,59.3,61,62.8,64.6,66.4,68.3,70.1,72.1,72.2,72.2,72.2,72.1,71.7,71.3,70.9,70.6,70.3,70,69.7
Benin,71.4,71.4,71.5,71.7,71.8,71.8,71.8,71.8,71.7,71.6,71.5,71.3,71.3,71.3,71.2,71.1,70.9,70.7,70.5,70.3,69,69,69,68.9,68.9,69,69.1,69.3,69.4,69.6,69.7,69.8
Botswana,53.7,52.4,51.1,48.7,48.4,48.1,48.1,48.2,48.9,49.6,48.6,47.6,46.6,48.2,49.7,52.2,52.4,52.5,53,49.5,53.2,56.2,58.6,59,59.3,59.3,59.4,59.4,59.5,59.6,59.6,59.6
Burkina Faso,81,80.5,79.9,79.4,78.8,78.2,77.7,77,76.4,75.7,75,74.3,73.5,72.4,71.2,71.7,70.3,69.3,68.2,67.1,66,64.8,63.6,62.4,62.3,62.4,62.3,62.2,62.1,61.9,61.8,61.7
Burundi,88.7,88.1,87.5,86.9,86.1,85.4,84.6,83.7,83,82.3,81.7,81.1,80.6,80.2,79.8,79.4,79,78.6,78.3,78.1,77.8,77.5,77.3,76.9,77.3,77.6,77.6,77.7,77.7,77.7,77.5,77.4
Cameroon,71.6,71.6,71.6,71.5,71.2,71.1,71,70.9,70.8,70.7,70.6,71.1,71.5,72,72.5,73.1,73.7,73.4,73.2,72.8,72.9,72.9,72.9,72.9,72.9,72.9,73,73,73,73,73,73
Cape Verde,54.5,54.7,54.8,54.9,54.9,54.9,54.8,54.6,54.3,54.1,53.8,53.5,53.2,52.9,52.6,52.6,52.6,52.7,52.8,52.9,53.1,53.2,53.4,53.6,53.8,53.9,54.2,54.4,54.6,54.8,55,55.2
Central African Republic,67.8,67.7,67.6,67.5,67.4,67.4,67.3,67.2,67.1,67,67,67,66.9,66.9,66.8,66.9,67,67,67,67,67.1,67.2,67.3,67.2,67.1,67.1,67.2,67.3,67.5,67.6,67.8,68
Chad,68.3,68.3,68.4,68.3,68.3,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.3,68.2,68.2,68.1,68.1,68,67.8,67.7,67.6,67.5,67.4,67.2,67,67,66.9,66.9,66.9,66.9,66.9
Comoros,40.8,40.8,40.8,40.8,40.8,40.7,40.6,40.5,40.4,40.2,40.1,40,39.9,39.9,39.9,39.9,39.9,40,40.1,40.3,40.4,40.5,40.7,40.8,41,41.1,41.2,41.4,41.5,41.6,41.7,41.8
Djibouti,59,58.9,58.7,58.4,58.3,58.2,58.1,58.1,58,57.9,57.7,57.4,57,56.7,56.4,56.2,56,55.9,55.7,55.6,55.6,55.5,55.5,55.5,55.5,55.5,55.6,55.6,55.7,55.8,55.9,55.9
Egypt,42.2,42.4,41.6,42.4,41.2,41.8,41.6,41.2,42.7,42,41.4,40.6,40.6,41.3,41.3,42.1,43.9,44.3,44.4,43.5,43.1,42.8,42.9,42.3,41.7,41.9,42.2,42.4,42.6,42.8,43,43.2
Equatorial Guinea,57.9,57.8,57.8,57.7,57.6,56.9,55.8,55.4,55.2,55.2,54.5,54.4,54.5,54.4,54.7,54.6,54.4,54.5,54.9,55.6,55.4,55.2,55.5,55.8,56.3,55.8,55.1,54.7,54.5,54.6,54.2,54
Eritrea,77.2,77.2,77.2,77.1,76.9,76.7,76.3,76,75.7,75.3,74.9,74.5,74.2,74,73.8,74,74.3,74.6,74.9,75.1,75.4,75.6,75.9,76,76.1,76.1,76.2,76.2,76.2,76.3,76.3,76.3
Ethiopia,75.6,75.6,75.6,75.6,75.4,75,74.6,74.2,73.7,74.8,75.8,76.9,78,79,80,79.9,79.8,79.7,79.5,79.4,79.2,79.1,79.1,78.8,78.5,78.1,78.2,78.2,78.3,78.3,78.4,78.5
Gabon,38.8,38.9,38.7,38.7,38.6,38.6,38.5,38.6,38.9,39,38.9,39.1,39.1,39.3,39.5,39.4,39.1,39.3,39.4,39.2,39.4,39.7,40,40.4,40.7,41,41.3,41.6,41.8,42,42.2,42.3
Ghana,71.9,71.8,71.3,70.7,70.2,69.6,69.1,68.7,67.2,66.9,67.9,68.9,69.8,70.8,71.8,72.8,72.6,72.4,72.2,72.1,72.9,73.8,75.1,75.1,75.1,75,75.1,75.2,75.4,75.5,75.5,75.6
Guinea,62.7,62.8,62.8,62.7,62.6,62.6,62.6,62.6,62.5,62.4,62.3,62.3,62.2,62.2,62.1,62,62,61.9,61.9,61.8,61.7,61.7,61.6,61.5,61.5,61.3,61.3,61.3,61.3,61.3,61.3,61.3
Guinea-Bissau,68.7,68.7,68.6,68.5,68.3,68.2,68,67.9,67.7,67.6,67.4,67.3,67.2,67.1,66.9,66.8,66.8,66.7,66.7,66.7,66.7,66.8,66.9,67,67.1,67.2,67.3,67.4,67.4,67.5,67.5,67.6
Kenya,66.1,65.9,65.7,65.5,65.2,65,64.9,64.7,64.6,63.6,62.5,61.4,60.3,59.2,58,58.1,58.2,58.4,57.8,58,58.1,58.1,58.1,58,58,57.9,57.9,57.9,57.9,57.9,57.9,57.8
Lesotho,48,50.3,46.2,47.2,43.7,47.9,45.3,41.6,54,56.7,52.3,47.2,49.9,44,44.2,45.4,45.1,44.3,44.7,50.2,48.2,51.2,49.9,49.8,48.3,47.9,48.4,47.6,47.9,47.8,48,48.1
Liberia,53.3,53.6,53.8,53.9,54,53.8,53,52.7,52.5,52.1,52.2,52.3,52.8,52.9,52.9,53,53.1,53.7,54.2,55.1,55.1,55,54.8,54.7,54.6,54.4,54.3,54.3,54.2,54.2,54.2,54.2
