country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,country_code
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,249,312,275,348,414,502,620,594,620,550,455,1180,1150,1220,1190,1550,994,1670,2790,3580,3410,4510,4880,4870,4420,3290,3530,5410,5500,5350,5280,4650,5120,5010,4700,4660,5820,5130,5010,5120,5090,5200,5780,3890,11000,10500,7380,7310,9160,9540,9730,12700,9060,18800,19200,22300,25200,25700,27800,29100,30300,33400,32600,34800,AGO
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,47.7,47.7,36.7,47.7,47.7,55,73.3,62.3,73.3,73.3,73.3,91.7,77,88,99,103,110,147,158,158,205,220,231,235,249,227,268,209,238,216,227,235,238,242,249,249,253,271,205,213,161,198,154,187,187,191,191,213,242,282,290,440,BDI
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,103,161,128,136,121,143,150,114,143,154,202,282,293,389,381,407,444,260,297,363,367,517,429,491,455,502,744,686,539,554,631,708,821,898,1130,1270,1330,1270,1220,1210,1560,1600,1820,2080,2350,2510,2390,3870,4500,4410,4660,5090,5300,5470,5810,6320,BEN
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,44,91.7,84.3,88,110,103,103,103,103,121,143,150,161,169,205,220,209,249,348,407,433,557,576,594,466,477,480,517,554,821,583,627,631,627,645,627,708,807,862,931,1040,997,1000,1080,1100,1130,1360,1650,1920,1930,1960,2210,2630,3060,2850,BFA
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,51.3,88,187,594,781,832,942,986,1010,1100,1030,1050,1160,1070,1240,1300,1430,2700,2640,2780,3200,3030,3050,2760,2800,3340,3160,3780,3850,3980,3830,3900,4100,4140,4230,4510,3760,4690,4180,4230,5230,7030,BWA
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,88,88,73.3,73.3,73.3,88,84.3,91.7,183,187,209,183,169,161,114,103,128,128,147,103,106,136,143,147,150,161,161,260,231,249,198,205,216,224,235,235,235,246,249,264,268,246,246,235,235,235,249,253,253,253,264,279,293,297,301,CAF
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,546,462,554,587,623,763,1170,1290,1490,1760,2090,2440,2710,3010,3210,3560,3990,3960,4060,4820,5420,6220,4470,6110,4840,5410,7330,5970,7680,9160,8520,5030,4560,4100,5350,4690,6620,7840,7570,6910,6270,6790,7730,7290,5460,7660,7830,7000,6780,6780,5660,6970,7250,9300,10700,11000,CIV
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,183,282,202,231,235,238,257,279,279,271,282,290,301,337,312,345,458,506,572,638,810,862,898,975,1160,1090,1570,2000,1830,3910,5340,6340,6590,6060,6480,1990,1840,2200,7630,1730,1100,3790,3900,3820,4230,4460,3220,3210,3080,3430,3420,3420,3800,3960,3700,3860,5830,5540,6730,6780,5770,6130,6770,7000,CMR
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,80.7,161,216,172,238,231,282,304,389,249,51.3,3.67,18.3,33,40.3,103,121,88,77,103,143,220,172,172,312,326,374,477,1480,1750,2090,2290,2820,3390,3180,3330,2930,2700,2320,2360,2170,2300,1980,2470,2410,2290,3370,3650,2710,2960,3020,3190,3370,3240,3410,3490,3540,3760,3500,3780,3070,4030,3960,3640,3380,3850,4020,4390,4070,2960,2820,2590,1640,2120,2320,1900,1670,1380,814,836,928,986,1200,1500,1610,1760,1860,1750,2020,2490,2400,3590,4670,COD
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,224,268,238,235,268,246,308,323,451,502,572,686,664,1220,1620,1100,1240,480,323,348,407,473,1350,1140,1140,1280,1070,1320,1500,1510,1190,1000,1280,1320,2150,1570,1720,2340,777,821,1050,766,576,917,950,983,1120,1210,1310,1750,1980,2260,2970,3090,3090,COG
