country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.02,7.05,7.07,7.1,7.12,7.15,7.18,7.2,7.22,7.25,7.27,7.29,7.31,7.33,7.35,7.37,7.38,7.4,7.41,7.43,7.44,7.45,7.47,7.48,7.49,7.47,7.44,7.43,7.41,7.41,7.41,7.43,7.45,7.48,7.52,7.57,7.61,7.65,7.67,7.68,7.68,7.67,7.67,7.66,7.64,7.62,7.6,7.56,7.51,7.43,7.34,7.23,7.11,6.96,6.79,6.62,6.43,6.24,6.04,5.84,5.63,5.41,5.19,4.96,4.73,4.48,4.22,3.96,3.7,3.45,3.21,2.99,2.8,2.64,2.51,2.44,2.4,2.41,2.44,2.5,2.58,2.66,2.75,2.83,2.89,2.93,2.94,2.92,2.89,2.84,2.78,2.71,2.64
Angola,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.01,7.01,7,7,7,7,6.99,6.99,6.99,7,7,7,7,7.01,7.02,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.1,7.11,7.13,7.15,7.17,7.2,7.23,7.27,7.31,7.36,7.42,7.48,7.52,7.56,7.59,7.61,7.62,7.62,7.61,7.61,7.6,7.6,7.6,7.61,7.61,7.61,7.62,7.61,7.59,7.57,7.54,7.5,7.47,7.44,7.41,7.39,7.38,7.37,7.35,7.32,7.29,7.25,7.19,7.13,7.06,6.99,6.92,6.85,6.79,6.73,6.68,6.64,6.6,6.57,6.54,6.5,6.47,6.42,6.37,6.31,6.24,6.16,6.08,6,5.92,5.84,5.77,5.69,5.62,5.55
Benin,5.55,5.55,5.55,5.55,5.55,5.55,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.67,5.67,5.67,5.68,5.68,5.69,5.69,5.69,5.7,5.7,5.7,5.71,5.71,5.71,5.72,5.72,5.73,5.73,5.73,5.74,5.74,5.74,5.75,5.75,5.78,5.83,5.88,5.94,5.99,6.05,6.11,6.17,6.23,6.28,6.34,6.39,6.45,6.5,6.54,6.59,6.63,6.67,6.71,6.75,6.79,6.82,6.86,6.9,6.93,6.96,6.98,7,7.02,7.03,7.03,7.02,7.01,6.99,6.97,6.94,6.9,6.86,6.81,6.74,6.68,6.6,6.53,6.45,6.36,6.28,6.2,6.12,6.04,5.96,5.89,5.82,5.75,5.69,5.63,5.58,5.52,5.47,5.42,5.36,5.31,5.25,5.18,5.12,5.05,4.98,4.91,4.84
Botswana,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.47,6.47,6.47,6.47,6.47,6.48,6.49,6.51,6.52,6.54,6.55,6.57,6.58,6.6,6.62,6.63,6.65,6.67,6.68,6.69,6.7,6.7,6.69,6.67,6.65,6.62,6.58,6.55,6.51,6.47,6.43,6.39,6.35,6.29,6.21,6.11,5.98,5.83,5.64,5.45,5.24,5.04,4.85,4.69,4.54,4.41,4.29,4.18,4.06,3.95,3.84,3.72,3.61,3.49,3.39,3.29,3.19,3.11,3.04,2.99,2.95,2.92,2.9,2.89,2.88,2.88,2.86,2.84,2.81,2.77,2.73,2.68,2.64
Burkina Faso,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.1,6.1,6.1,6.09,6.09,6.09,6.09,6.08,6.08,6.08,6.07,6.07,6.07,6.06,6.06,6.06,6.06,6.05,6.05,6.05,6.04,6.04,6.04,6.03,6.05,6.09,6.12,6.15,6.18,6.21,6.23,6.25,6.27,6.29,6.32,6.34,6.38,6.41,6.45,6.49,6.53,6.56,6.59,6.62,6.66,6.7,6.74,6.8,6.86,6.92,6.98,7.04,7.09,7.13,7.15,7.17,7.17,7.16,7.14,7.12,7.09,7.06,7.04,7.01,6.98,6.95,6.92,6.88,6.84,6.8,6.75,6.7,6.65,6.59,6.53,6.47,6.4,6.34,6.27,6.19,6.12,6.04,5.95,5.87,5.78,5.69,5.61,5.52,5.44,5.35,5.27,5.19
Burundi,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.81,6.8,6.79,6.79,6.8,6.82,6.85,6.88,6.91,6.95,7,7.05,7.09,7.14,7.18,7.22,7.25,7.27,7.28,7.29,7.3,7.31,7.33,7.35,7.37,7.39,7.41,7.42,7.42,7.42,7.42,7.42,7.44,7.46,7.49,7.51,7.53,7.53,7.53,7.51,7.47,7.43,7.39,7.34,7.29,7.24,7.18,7.13,7.07,7.01,6.95,6.89,6.82,6.76,6.69,6.62,6.53,6.45,6.35,6.26,6.16,6.06,5.96,5.87,5.78,5.7,5.62,5.53
Cameroon,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.52,5.49,5.47,5.47,5.47,5.49,5.51,5.55,5.59,5.65,5.71,5.77,5.83,5.89,5.95,6,6.06,6.11,6.16,6.2,6.25,6.29,6.33,6.37,6.41,6.45,6.49,6.54,6.58,6.63,6.66,6.69,6.7,6.71,6.7,6.67,6.63,6.57,6.51,6.44,6.35,6.26,6.17,6.07,5.98,5.89,5.8,5.72,5.65,5.58,5.52,5.48,5.43,5.39,5.35,5.31,5.27,5.22,5.17,5.11,5.05,4.98,4.92,4.85,4.78,4.71,4.64,4.57
Cape Verde,6.43,6.43,6.43,6.43,6.44,6.44,6.44,6.44,6.44,6.44,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.47,6.47,6.47,6.47,6.47,6.47,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.49,6.49,6.49,6.49,6.49,6.49,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.51,6.51,6.51,6.51,6.51,6.51,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.54,6.54,6.54,6.54,6.54,6.54,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.56,6.56,6.56,6.56,6.56,6.56,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.58,6.58,6.58,6.58,6.58,6.58,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.61,6.61,6.61,6.61,6.61,6.61,6.62,6.62,6.62,6.62,6.62,6.61,6.61,6.6,6.6,6.59,6.59,6.58,6.58,6.57,6.57,6.56,6.56,6.55,6.55,6.54,6.54,6.53,6.53,6.52,6.52,6.51,6.51,6.5,6.5,6.51,6.55,6.58,6.62,6.66,6.71,6.75,6.8,6.84,6.89,6.92,6.95,6.98,6.99,6.99,6.99,6.98,6.97,6.95,6.94,6.91,6.89,6.86,6.82,6.77,6.71,6.65,6.56,6.47,6.38,6.27,6.17,6.08,5.98,5.88,5.78,5.68,5.57,5.44,5.31,5.16,5.01,4.86,4.7,4.54,4.38,4.22,4.07,3.91,3.76,3.62,3.48,3.36,3.24,3.13,3.02,2.93,2.83,2.75,2.67,2.59,2.53,2.47,2.42,2.37,2.33,2.3,2.27
Central African Republic,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.46,6.42,6.38,6.33,6.29,6.24,6.2,6.15,6.11,6.07,6.02,5.98,5.93,5.89,5.85,5.8,5.76,5.71,5.67,5.62,5.58,5.54,5.49,5.45,5.4,5.43,5.49,5.55,5.6,5.65,5.69,5.73,5.77,5.81,5.84,5.87,5.89,5.91,5.93,5.94,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.96,5.96,5.95,5.95,5.94,5.93,5.91,5.88,5.85,5.81,5.77,5.73,5.69,5.65,5.62,5.59,5.56,5.54,5.52,5.5,5.48,5.46,5.44,5.41,5.38,5.35,5.32,5.29,5.25,5.22,5.17,5.12,5.07,5.01,4.94,4.87,4.8,4.72
Chad,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.07,6.09,6.11,6.13,6.15,6.17,6.19,6.21,6.23,6.25,6.27,6.29,6.3,6.32,6.34,6.36,6.39,6.43,6.48,6.53,6.58,6.64,6.69,6.74,6.78,6.82,6.86,6.89,6.93,6.96,6.99,7.02,7.06,7.09,7.12,7.16,7.2,7.24,7.28,7.31,7.35,7.38,7.4,7.42,7.43,7.43,7.42,7.41,7.38,7.35,7.32,7.27,7.21,7.15,7.07,6.99,6.9,6.8,6.7,6.59,6.48,6.37,6.26,6.16,6.05,5.95,5.85,5.75
