UID,Ban_by,UID,Gender,Name,Intro,Locale,Service,Caught(TPE)
999912112,System,男,北投羅志祥,加賴0981987654,zh-TW,,2019-12-11 17:43:04 +0800
4377266,harry,女,可愛的可可呀,真心交友加賴ty837呀,zh-TW,Data Communication Business Group,2019-10-17 11:36:54 +0800
4364791,harry,女,莎莎,加賴有驚喜哦：km39666,zh-TW,Data Communication Business Group,2019-10-17 11:37:42 +0800
4361823,harry,女,交友加賴yd8989,,zh-TW,Data Communication Business Group,2019-10-14 17:59:54 +0800
4356360,harry,女,我有困難誰能幫我一下 哭,誰能幫幫我賴as1020as..,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-14 17:34:07 +0800
4354923,harry,女,jesmo,"賴 ： Wn叭叭三
 聊天呀",zh-TW,"Amazon.com, Inc.",2019-10-14 15:55:42 +0800
3553047,harry,女,莎莎,"跳舞, 唱歌, 電影, 這邊不經常上喜歡交友加賴哦：km39666
",zh-TW,Asia Pacific Telecom,2019-10-14 12:19:56 +0800
4350998,harry,女,Min,高三生ㄛ聊天可以加賴mini1119.（id有點）,zh-TW,Data Communication Business Group,2019-10-14 15:55:21 +0800
4350654,harry,女,AKA松花蛋,"高三生ㄛ賴mini1119.（id後面有點ㄛ）
😂很容易句點人sor
",zh-TW,Data Communication Business Group,2019-10-14 15:55:18 +0800
4346480,harry,女,Mi,高三生賴mini1119.（id後面有點）😂😂,zh-TW,Data Communication Business Group,2019-10-14 15:55:17 +0800
4346350,harry,女,金,高三生偶如果不說話你要聊可加賴mini1119.（id有點）,zh-TW,Data Communication Business Group,2019-10-14 15:55:16 +0800
4346278,harry,女,金,我沒講話我家很吵要聊可以加我賴mini1119.（id後面有點ㄛ）,zh-TW,Data Communication Business Group,2019-10-14 15:55:14 +0800
4345178,harry,女,紫熙籟663fu,喜歡交友加賴6663fu,zh-TW,Data Communication Business Group,2019-10-14 12:28:04 +0800
4345136,harry,女,(๑•̀ᄇ•́)و ✧ ,賴mini1119.（id有點ㄛ）😂,zh-TW,Data Communication Business Group,2019-10-14 15:55:10 +0800
4344895,harry,女,Mini,高三生現在先不講話要聊可以加我賴mini1119.,zh-TW,Data Communication Business Group,2019-10-14 15:55:02 +0800
