年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2018,主管及監督人員,礦業及土石採取業各業,253,82059,73160,8899
2018,高階主管(總經理及總執行長),礦業及土石採取業各業,16,106080,95824,10256
2018,中階主管(經理),礦業及土石採取業各業,89,91546,81215,10331
2018,監督人員(含現場及辦公室主任、科/股長),礦業及土石採取業各業,148,73757,65865,7892
2018,專業人員,礦業及土石採取業各業,341,74182,61634,12548
2018,工管及生管工程師,礦業及土石採取業各業,… ,… ,… ,… 
2018,土木及水利工程師,礦業及土石採取業各業,8,59232,47387,11845
2018,環境工程師,礦業及土石採取業各業,8,71074,60281,10793
2018,機械工程師(含造船、輪機、鑄造),礦業及土石採取業各業,21,68126,52382,15744
2018,化工工程師,礦業及土石採取業各業,… ,… ,… ,… 
2018,地質、採礦、鑽探、冶金工程師,礦業及土石採取業各業,165,71882,60154,11728
2018,電機工程師,礦業及土石採取業各業,13,83062,65828,17234
2018,電子工程師,礦業及土石採取業各業,… ,… ,… ,… 
2018,測量師及製圖師,礦業及土石採取業各業,… ,… ,… ,… 
2018,護理人員,礦業及土石採取業各業,12,67726,55329,12397
2018,勞安及衛生管理人員(含工業安全管理師),礦業及土石採取業各業,11,72244,64802,7442
2018,專案管理師(含經營管理顧問),礦業及土石採取業各業,77,82331,68822,13509
2018,人力資源管理師,礦業及土石採取業各業,… ,… ,… ,… 
2018,軟體開發及程式設計師,礦業及土石採取業各業,9,75610,61814,13796
2018,技術員及助理專業人員,礦業及土石採取業各業,466,70873,53529,17344
2018,營建工程技術員(含建築、土木、景觀、測量、水利),礦業及土石採取業各業,17,82525,64675,17850
2018,電機技術員,礦業及土石採取業各業,… ,… ,… ,… 
2018,機械技術員(含造船、輪機、鑄造),礦業及土石採取業各業,21,47644,39499,8145
2018,化工技術員,礦業及土石採取業各業,… ,… ,… ,… 
2018,品管技術員,礦業及土石採取業各業,12,36951,36951,— 
2018,地質、採礦、鑽探、冶金技術員,礦業及土石採取業各業,208,76286,55247,21039
2018,環境工程技術員,礦業及土石採取業各業,… ,… ,… ,… 
2018,焚化爐、水處理及氣(液)體設備操作員,礦業及土石採取業各業,62,89291,60183,29108
2018,石油及天然氣精煉設備操作員,礦業及土石採取業各業,58,67888,56181,11707
2018,勞安及衛生技術員,礦業及土石採取業各業,22,42672,35963,6709
2018,統計及精算助理專業人員,礦業及土石採取業各業,13,77511,63044,14467
2018,工商業銷售代表(含業務員),礦業及土石採取業各業,16,38950,38950,— 
2018,採購員,礦業及土石採取業各業,10,70516,57218,13298
2018,法務人員,礦業及土石採取業各業,8,59767,52614,7153
2018,資訊管理及維護技術員,礦業及土石採取業各業,… ,… ,… ,… 
2018,事務支援人員,礦業及土石採取業各業,462,38902,34930,3972
2018,總務,礦業及土石採取業各業,51,39257,36766,2491
2018,一般辦公室事務人員(含文書),礦業及土石採取業各業,191,41055,36197,4858
2018,資料輸入人員,礦業及土石採取業各業,18,25255,24461,794
2018,總機人員,礦業及土石採取業各業,… ,… ,… ,… 
2018,會計助理、簿記、出納,礦業及土石採取業各業,139,31972,30154,1818
2018,存貨事務人員,礦業及土石採取業各業,17,57019,46348,10671
2018,生產及物料規劃事務人員,礦業及土石採取業各業,… ,… ,… ,… 
2018,運輸事務人員(含稽查、調度、管理、航務),礦業及土石採取業各業,14,35949,33040,2909
2018,人事事務人員,礦業及土石採取業各業,20,51540,43763,7777
2018,服務及銷售工作人員,礦業及土石採取業各業,52,70517,49018,21499
2018,廚師,礦業及土石採取業各業,… ,… ,… ,… 
2018,消防人員,礦業及土石採取業各業,11,75288,55925,19363
2018,建築物管理員、保全及警衛人員,礦業及土石採取業各業,27,65341,43918,21423
2018,救生員,礦業及土石採取業各業,… ,… ,… ,… 
